2024-12-09 08:10:33,HGV0432,HQWUDGD
2024-12-09 08:15:42,HGV0432,VDOLGD
2024-12-11 07:14:22,DVG032,HQWUDGD
2024-12-11 07:14:28,DVG032,VDOLGD
2024-12-11 08:23:40,STN302,HQWUDGD
2024-12-11 08:25:04,STN302,VDOLGD
2024-12-11 08:29:26,DVG032,HQWUDGD
2024-12-11 08:30:05,DVG032,VDOLGD
2024-12-11 08:43:53,NOG032,HQWUDGD
2024-12-11 08:46:20,SFI7679,HQWUDGD
2024-12-11 08:52:49,FGY0425,HQWUDGD
2024-12-11 08:53:55,STG0423,HQWUDGD
2024-12-11 08:54:04,DVG032,VDOLGD
2024-12-11 08:54:17,STG0423,VDOLGD
2024-12-11 08:54:47,FGY0425,VDOLGD
2024-12-11 08:56:08,DVG302,HQWUDGD
2024-12-11 11:11:44,DVG0432,HQWUDGD
2024-12-11 11:27:38,DTH043,HQWUDGD
2024-12-11 11:40:05,DVD1111,HQWUDGD
